rok;muži;ženy
1950;1671836;1775249
1951;1688740;1796790
1952;1712071;1821211
1953;1732792;1844060
1954;1761164;1868261
1955;1798195;1896365
1956;1831270;1925225
1957;1862181;1953856
1958;1890660;1979821
1959;1918374;2006477
1960;1941448;2028234
1961;1966279;2052126
1962;2085605;2131222
1963;2107029;2152520
1964;2129248;2175236
1965;2151833;2198365
1966;2172205;2219563
1967;2191198;2240366
1968;2208347;2258823
1969;2224367;2276292
1970;2240915;2295640
1971;2240386;2299504
1972;2256758;2318249
1973;2277139;2341097
1974;2299103;2365550
1975;2323020;2391573
1976;2346067;2417550
1977;2371148;2444248
1978;2395346;2470259
1979;2418567;2496077
1980;2441734;2521567
1981;2455591;2540738
1982;2473708;2562173
1983;2491641;2582675
1984;2507808;2601818
1985;2523546;2621022
1986;2539291;2639676
1987;2552671;2656037
1988;2565068;2671904
1989;2576818;2687402
1990;2586495;2701168
1991;2595913;2714798
1992;2583230;2712647
1993;2590230;2723925
1994;2600047;2736408
1995;2608901;2747306
1996;2613712;2754078
1997;2618434;2760498
1998;2622005;2765645
1999;2623692;2769690
2000;2625126;2773531
2001;2612512;2766271
2002;2611921;2767030
2003;2611306;2767855
2004;2611124;2768929
2005;2613490;2771332
2006;2615872;2773308
2007;2618284;2775353
2008;2623127;2777871
2009;2629804;2782450
2010;2636938;2787987
2011;2625173;2767273
2012;2631722;2772570
2013;2635979;2774857
2014;2639060;2776889
2015;2642328;2779021
2016;2646082;2780170
2017;2651684;2783659
2018;2656514;2786606
2019;2661077;2789344
2020;2665350;2792523
